<<<<<<< HEAD
InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Month,Day,Year,Hour,Revenue,Discount,ProductCategory,Region,Weekday,ReturnFlag,OrderType,PaymentMode,CalculatedRevenue
100000,1803,Mouse,1,1235,91017,India,1,1,2025,0,2233,15,Electronics,North,Wednesday,0,Online,Card,1220
100001,7964,Mouse,7,1803,76668,Usa,1,1,2025,1,7268,0,Electronics,East,Wednesday,0,Store,Upi,12621
100002,6890,Keyboard,2,4318,28625,Uk,1,1,2025,2,14502,5,Electronics,North,Wednesday,0,Online,Cash,8631
100003,4949,Monitor,7,603,99621,Usa,1,1,2025,3,8709,0,Electronics,West,Wednesday,0,Store,Cash,4221
100004,4896,Mouse,6,631,99339,Germany,1,1,2025,4,3788,5,Electronics,North,Wednesday,0,Online,Upi,3781
100005,8726,Monitor,2,1580,13687,Usa,1,1,2025,5,19701,5,Electronics,South,Wednesday,0,Store,Upi,3155
100006,1773,Monitor,5,3055,12310,Germany,1,1,2025,6,4361,15,Accessories,South,Wednesday,0,Online,Cash,15260
100007,7275,Laptop,1,4052,32042,Germany,1,1,2025,7,2141,15,Electronics,North,Wednesday,0,Store,Card,4037
100008,2813,Phone,7,2856,81456,Germany,1,1,2025,8,7934,15,Electronics,East,Wednesday,0,Online,Card,19977
100009,1847,Laptop,3,2518,63796,Uk,1,1,2025,9,2677,5,Accessories,North,Wednesday,0,Store,Card,7549
100010,5737,Monitor,4,4367,56134,India,1,1,2025,10,12050,10,Electronics,North,Wednesday,0,Online,Cash,17458
100011,9779,Keyboard,2,940,47367,Uk,1,1,2025,11,8989,15,Accessories,South,Wednesday,1,Store,Cash,1865
100012,7621,Monitor,4,4518,53168,Usa,1,1,2025,12,18566,10,Electronics,South,Wednesday,0,Online,Cash,18062
100013,7849,Monitor,4,1631,67379,India,1,1,2025,13,3800,15,Electronics,East,Wednesday,0,Online,Upi,6509
100014,7456,Monitor,3,1452,15739,Usa,1,1,2025,14,5741,15,Electronics,North,Wednesday,0,Online,Card,4341
100015,8073,Monitor,9,4772,62775,Usa,1,1,2025,15,13854,0,Accessories,North,Wednesday,1,Store,Upi,42948
100016,5618,Phone,3,3264,29874,India,1,1,2025,16,14109,0,Accessories,North,Wednesday,0,Store,Upi,9792
100017,2152,Monitor,2,2216,80918,Uk,1,1,2025,17,7533,10,Accessories,West,Wednesday,0,Store,Upi,4422
100018,8556,Phone,5,1717,27586,Germany,1,1,2025,18,18475,0,Electronics,East,Wednesday,1,Store,Cash,8585
100019,5053,Keyboard,3,2263,16381,Uk,1,1,2025,19,17001,0,Electronics,North,Wednesday,0,Store,Cash,6789
100020,5502,Mouse,5,3978,49125,Germany,1,1,2025,20,12429,0,Accessories,East,Wednesday,0,Online,Upi,19890
100021,4336,Mouse,7,850,49655,India,1,1,2025,21,15097,0,Electronics,West,Wednesday,0,Online,Card,5950
100022,2642,Monitor,1,954,56669,Germany,1,1,2025,22,10947,10,Electronics,West,Wednesday,0,Store,Card,944
