 total_orders | total_units_sold | gross_revenue | total_discounts_given | net_revenue  | average_order_value_aov 
--------------+------------------+---------------+-----------------------+--------------+-------------------------
        10000 |            50271 |  101822804.00 |              75980.00 | 101746824.00 |                10182.28
(1 row)

  category   |   brand   | total_orders | units_sold | total_revenue | revenue_percentage 
-------------+-----------+--------------+------------+---------------+--------------------
 Accessories | Brand_ACC |         5105 |      25616 |   51813150.00 |              50.89
 Electronics | Brand_ELE |         4895 |      24655 |   50009654.00 |              49.11
(2 rows)

 country | region | active_customers | total_orders | units_sold | total_revenue 
---------+--------+------------------+--------------+------------+---------------
 Germany | South  |              623 |          657 |       3413 |    6666003.00
 Germany | West   |              625 |          656 |       3267 |    6625885.00
 Usa     | North  |              590 |          618 |       3073 |    6612813.00
 Germany | North  |              610 |          640 |       3257 |    6516923.00
 India   | East   |              605 |          630 |       3089 |    6505353.00
 Uk      | South  |              586 |          617 |       3159 |    6465115.00
 Uk      | North  |              589 |          623 |       3087 |    6449412.00
 Uk      | East   |              600 |          637 |       3286 |    6442846.00
 Uk      | West   |              595 |          629 |       3196 |    6383324.00
 India   | North  |              602 |          642 |       3360 |    6368616.00
 Usa     | West   |              595 |          627 |       3108 |    6337896.00
 India   | South  |              591 |          627 |       3105 |    6325158.00
 Germany | East   |              575 |          615 |       3068 |    6244310.00
 Usa     | South  |              565 |          595 |       2945 |    6177372.00
 Usa     | East   |              578 |          614 |       3014 |    6175084.00
 India   | West   |              541 |          573 |       2844 |    5526694.00
(16 rows)

 cohort  | cohort_size | retention_period_month | active_customer_count | retention_rate_percentage 
---------+-------------+------------------------+-----------------------+---------------------------
 2025-01 |         743 |                      0 |                   743 |                    100.00
 2025-01 |         743 |                      1 |                     5 |                      0.67
 2025-01 |         743 |                      2 |                     3 |                      0.40
 2025-01 |         743 |                      3 |                     3 |                      0.40
 2025-01 |         743 |                      4 |                     8 |                      1.08
 2025-01 |         743 |                      5 |                     5 |                      0.67
 2025-01 |         743 |                      6 |                     1 |                      0.13
 2025-01 |         743 |                      7 |                     2 |                      0.27
 2025-01 |         743 |                      8 |                     6 |                      0.81
 2025-01 |         743 |                      9 |                     3 |                      0.40
 2025-01 |         743 |                     10 |                     5 |                      0.67
 2025-01 |         743 |                     11 |                     5 |                      0.67
 2025-01 |         743 |                     12 |                     6 |                      0.81
 2025-01 |         743 |                     13 |                     5 |                      0.67
 2025-02 |         665 |                      0 |                   665 |                    100.00
 2025-02 |         665 |                      1 |                     9 |                      1.35
 2025-02 |         665 |                      2 |                     6 |                      0.90
 2025-02 |         665 |                      3 |                    11 |                      1.65
 2025-02 |         665 |                      4 |                     8 |                      1.20
 2025-02 |         665 |                      5 |                     4 |                      0.60
 2025-02 |         665 |                      6 |                     6 |                      0.90
 2025-02 |         665 |                      7 |                     4 |                      0.60
 2025-02 |         665 |                      8 |                     6 |                      0.90
 2025-02 |         665 |                      9 |                     7 |                      1.05
 2025-02 |         665 |                     10 |                     4 |                      0.60
 2025-02 |         665 |                     11 |                    10 |                      1.50
 2025-02 |         665 |                     12 |                     7 |                      1.05
 2025-03 |         730 |                      0 |                   730 |                    100.00
 2025-03 |         730 |                      1 |                     4 |                      0.55
 2025-03 |         730 |                      2 |                     2 |                      0.27
 2025-03 |         730 |                      3 |                     8 |                      1.10
 2025-03 |         730 |                      4 |                     4 |                      0.55
 2025-03 |         730 |                      5 |                     5 |                      0.68
 2025-03 |         730 |                      6 |                     5 |                      0.68
 2025-03 |         730 |                      7 |                     5 |                      0.68
 2025-03 |         730 |                      8 |                     8 |                      1.10
 2025-03 |         730 |                      9 |                     6 |                      0.82
 2025-03 |         730 |                     10 |                     6 |                      0.82
 2025-03 |         730 |                     11 |                     1 |                      0.14
 2025-04 |         705 |                      0 |                   705 |                    100.00
 2025-04 |         705 |                      1 |                     6 |                      0.85
 2025-04 |         705 |                      2 |                     6 |                      0.85
 2025-04 |         705 |                      3 |                     8 |                      1.13
 2025-04 |         705 |                      4 |                     6 |                      0.85
 2025-04 |         705 |                      5 |                     2 |                      0.28
 2025-04 |         705 |                      6 |                     4 |                      0.57
 2025-04 |         705 |                      7 |                     6 |                      0.85
 2025-04 |         705 |                      8 |                    10 |                      1.42
 2025-04 |         705 |                      9 |                     8 |                      1.13
 2025-04 |         705 |                     10 |                     2 |                      0.28
 2025-05 |         711 |                      0 |                   711 |                    100.00
 2025-05 |         711 |                      1 |                     4 |                      0.56
 2025-05 |         711 |                      2 |                     8 |                      1.13
 2025-05 |         711 |                      3 |                     6 |                      0.84
 2025-05 |         711 |                      4 |                     9 |                      1.27
 2025-05 |         711 |                      5 |                     5 |                      0.70
 2025-05 |         711 |                      6 |                     6 |                      0.84
 2025-05 |         711 |                      7 |                     5 |                      0.70
 2025-05 |         711 |                      8 |                     5 |                      0.70
 2025-05 |         711 |                      9 |                     2 |                      0.28
 2025-06 |         684 |                      0 |                   684 |                    100.00
 2025-06 |         684 |                      1 |                     9 |                      1.32
 2025-06 |         684 |                      2 |                     2 |                      0.29
